,Raft,Cod,Autor1 prenume,Autor1 nume,Autor2 prenume,Autor2 nume,Autor3 prenume,Autor3 nume,Autor4 prenume,Autor4 nume,Titlu,Editura,An,Obs
,Raft 06,R0634,Ioana,PARVULESCU,,,,,,,In Tara Miticilor - De sapte ori Caragiale,Humanitas,2007,
,Raft 06,R0635,Paulo,COELHO,,,,,,,Veronika se hotaraste sa moara,Humanitas,2000,
,Raft 06,R0636,Mario Vargas,LLOSA,,,,,,,Matusa Julia si condeierul,Humanitas,2000,
,Raft 06,R0637,Paulo,COELHO,,,,,,,Al cincilea munte,Humanitas,2001,
,Raft 06,R0638,Paulo,COELHO,,,,,,,Diavolul si domnisoara Prym,Humanitas,2002,
,Raft 06,R0639,Marguerite,DURAS,,,,,,,Amantul,Humanitas,2002,
,Raft 06,R0640,Paulo,COELHO,,,,,,,La riul Piedra am sezut si-am plins,Humanitas,2002,
,Raft 06,R0641,Mario Vargas,LLOSA,,,,,,,Cine l-a ucis pe Palomino Molero?,Humanitas,2003,
,Raft 06,R0642,Tennessee,WILLIAMS,,,,,,,Primavara la Roma a doamnei Stone,Humanitas,2003,
,Raft 06,R0643,Martin,PAGE,,,,,,,M-am hotarat sa devin prost,Humanitas,2004,
,Raft 06,R0644,Mircea,CARTARESCU,,,,,,,De ce iubim femeile,Humanitas,2004,
,Raft 06,R0645,,,,,,,,,,,,
,Raft 06,R0646,Lucian,BOIA,,,,,,,Istorie si mit in constiinta romaneasca,Humanitas,2002,
,Raft 06,R0647,Lucian,BOIA,,,,,,,Doua secole de mitologie nationala,Humanitas,2002,
,Raft 06,R0648,Lucian,BOIA,,,,,,,Jocul cu trecutul - Istoria intre adevar si fictiune,Humanitas,2002,
,Raft 06,R0649,Quintus Tullius,CICERO,,,,,,,Mic dictionar de campanie electorala,Art,2008,
,Raft 06,R0650,Pierre-Thomas-Nicolas,HURTAUT,,,,,,,Mestesugul bunei partaieli,Art,2008,
,Raft 06,R0651,L. J.,PETER,Raymond,HULL,,,,,Principiul lui Peter,Humanitas,1994,
,Raft 06,R0652,Mircea,DINESCU,,,,,,,Pamflete vesle si triste,Seara,1996,
,Raft 06,R0653,Coleta,de SABATA,,,,,,,Gradina secreta a pictorlului,Excelsior art,2005,
,Raft 06,R0654,Vladimir,SOROKIN,,,,,,,Ziua opricinicului,Curtea Veche,2008,
,Raft 06,R0655,Bob,DYLAN,,,,,,,"Cronica vietii mele, vol. *",Allfa,2007,
,Raft 17,R1701,Dan,BROWN,,,,,,,Codul lui Davinci,RAO,2004,
,Raft 17,R1702,Grigore,CARTIANU,,,,,,,Crimele revolutiei - Sangeroasa diversiune a KGB-istilor din FSN,Adevarul,2010,
,Raft 17,R1703,Grigore,CARTIANU,Cristian,DELCEA,Mihai,VOINEA,Andrei,CRACIUN,Teroristii printre noi - Adevarul despre ucigasii revolutiei,Adevarul,2011,
,Raft 17,R1704,Grigore,CARTIANU,,,,,,,Sfarsitul Ceausestilor - Sa mori impuscat ca un animal salbatic,Adevarul,2010,
,Raft 17,R1705,Grigore,CARTIANU,,,,,,,Jurnalul unui puci rata,Adevarul,,
,Raft 17,R1706,Mihail,SORA,,,,,,,Mai avem un viitor? Romania la inceput de mileniu,Polirom,2001,
,Raft 17,R1707,Alexandru,PALEOLOGU,,,,,,,Alchimica existentei,Cartea Romaneasca,2008,
